lag_s,n_pairs,msd_player,msd_centroid,msd_relative,cross_term,f_centroid,f_relative,f_cross,f_sum,f_centroid_ci_low,f_centroid_ci_high,f_relative_ci_low,f_relative_ci_high,f_cross_ci_low,f_cross_ci_high,n_bootstrap,bootstrap_unit
49.0,983960,839.3302596567412,633.084082163957,206.48203831991773,-0.235860827133492,0.754272915673108,0.2460080950785239,-0.00028101075163184443,1.0,0.7201585061400331,0.7855263136918283,0.21677228724092681,0.27914229964280834,-0.0029005433984919766,0.0020857032145458858,200,match_id+match_phase+team+source_key
50.0,983418,846.8480198703313,639.076106808909,207.97337099739238,-0.20145793597012376,0.7546526552742767,0.24558523621421124,-0.00023789148848806524,1.0,0.7204510796255176,0.785890984217997,0.2163022704546494,0.27870940467335353,-0.0028834543338193104,0.002146416508294326,200,match_id+match_phase+team+source_key
51.0,982876,854.0419323044711,644.7993035185148,209.40739008745498,-0.16476130149874688,0.7549972420893263,0.24519567736259582,-0.00019291945192219026,1.0,0.7207019320066111,0.7862151155336559,0.21586013400553714,0.27831242696864184,-0.002860869073022593,0.0022040963747328563,200,match_id+match_phase+team+source_key
52.0,982334,860.9153432278138,650.2588470779806,210.78224197529016,-0.12574582545698862,0.7553110212207129,0.2448350393954047,-0.00014606061611764537,1.0,0.7209138313001818,0.7864998822989235,0.21544593039949833,0.27794140276050516,-0.002869979771826085,0.0022571278107838743,200,match_id+match_phase+team+source_key
53.0,981792,867.4757541617004,655.4662473573802,212.09804324813894,-0.08853644381874239,0.7556018069816843,0.24450025517209228,-0.00010206215377662175,1.0,0.7210956398029593,0.7867513866088913,0.21505880529824797,0.27759231113063704,-0.0028762393382991305,0.0023034034705314535,200,match_id+match_phase+team+source_key
54.0,981250,873.7361259423737,660.4361112834448,213.35282238588172,-0.05280772695270772,0.7558759351642089,0.24418450382347262,-6.0438987681494344e-05,1.0000000000000002,0.7212524043646763,0.7869785401714278,0.21469479340043057,0.2772595685954881,-0.002851016898526535,0.0023406469690874015,200,match_id+match_phase+team+source_key
55.0,980708,879.7172815983902,665.1853869264118,214.55076196252307,-0.01886729054461486,0.7561354094554246,0.24388603753776217,-2.1446993186645367e-05,1.0000000000000002,0.7213854407905448,0.7871833217751412,0.21435246664052168,0.27694515076853593,-0.002823198568226208,0.002393784349309638,200,match_id+match_phase+team+source_key
56.0,980166,885.4405602433795,669.7306973083905,215.69659160278448,0.013271332204498658,0.7563813172555623,0.24360369435018464,1.4988394252970283e-05,0.9999999999999999,0.7214987327628863,0.7873665589725148,0.21403437440129988,0.27664295588679366,-0.002793942200896317,0.002477265524240905,200,match_id+match_phase+team+source_key
57.0,979624,890.9227276128139,674.0837154270272,216.7956656544817,0.04334653130508086,0.7566129974405336,0.24333834903434962,4.86535251168481e-05,1.0000000000000002,0.7215932522293711,0.7875285546856375,0.2137429040945897,0.27635094376429814,-0.002763948976062603,0.0025600597506792167,200,match_id+match_phase+team+source_key
58.0,979082,896.173891977445,678.2522975474059,217.85119986922138,0.07039456081778374,0.7568311279977303,0.2430903218888955,7.855011337415243e-05,1.0000000000000002,0.721679137358297,0.7876684056759833,0.21347703961285278,0.27606759447237783,-0.0027378918825199335,0.0026409860457978483,200,match_id+match_phase+team+source_key
59.0,978541,901.2035855163078,682.2417023069453,218.86459315215518,0.09729005720742066,0.7570339413553073,0.24285810295213778,0.00010795569255495393,1.0,0.7218694914331432,0.7877879847759124,0.21328104723405325,0.2757930334677779,-0.0027112896059938757,0.0027251629767450205,200,match_id+match_phase+team+source_key
60.0,978000,906.0249094730086,686.063007965211,219.84048218554773,0.12141932224986735,0.7572231191350589,0.24264286763751167,0.0001340132274293553,0.9999999999999999,0.7220297907562496,0.7878886482348699,0.21314766973052698,0.27553158206249795,-0.002688210553788544,0.002809086738259158,200,match_id+match_phase+team+source_key
