cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-03__2H__rosenborg__A,42.0,22859044.859967083,17898404.29970007,5159387.824281197,-198747.26401418855,30096
2020-07-03__2H__rosenborg__A,43.0,23224324.519966412,18205465.508184988,5221897.781544257,-203038.76976283698,30079
2020-07-03__2H__rosenborg__A,44.0,23575832.258934945,18501547.77104921,5282240.589726569,-207956.1018408403,30062
2020-07-03__2H__rosenborg__A,45.0,23914358.572574697,18787470.51387458,5340533.315974507,-213645.2572743909,30045
2020-07-03__2H__rosenborg__A,46.0,24239330.504684225,19063037.62917794,5396258.637874038,-219965.7623677525,30028
2020-07-03__2H__rosenborg__A,47.0,24550652.91733121,19328094.425822657,5449382.274172982,-226823.7826644276,30011
2020-07-03__2H__rosenborg__A,48.0,24849404.178496007,19583204.143533148,5500343.842684808,-234143.80772194825,29994
2020-07-03__2H__rosenborg__A,49.0,25136211.975502893,19828295.416555293,5549641.570735898,-241725.0117882943,29977
2020-07-03__2H__rosenborg__A,50.0,25410525.660454713,20062160.699413687,5597556.082408203,-249191.12136717758,29960
2020-07-03__2H__rosenborg__A,51.0,25670904.12018493,20283439.91562103,5643669.666797176,-256205.4622332799,29943
2020-07-03__2H__rosenborg__A,52.0,25917052.24678583,20491739.27479178,5687915.615725737,-262602.64373168815,29926
2020-07-03__2H__rosenborg__A,53.0,26150838.753620006,20688646.33015881,5730458.994603088,-268266.57114189403,29909
2020-07-03__2H__rosenborg__A,54.0,26375174.28363193,20876721.30277861,5771753.975264433,-273300.994411112,29892
2020-07-03__2H__rosenborg__A,55.0,26593290.729246132,21058591.693241913,5812509.219518771,-277810.1835145575,29875
2020-07-03__2H__rosenborg__A,56.0,26808338.831364445,21237202.182387013,5852902.236118842,-281765.58714140864,29858
2020-07-03__2H__rosenborg__A,57.0,27021536.737587463,21414245.44788084,5892728.943311889,-285437.6536052666,29841
2020-07-03__2H__rosenborg__A,58.0,27231595.32326367,21589141.079961516,5931421.096205315,-288966.8529031613,29824
2020-07-03__2H__rosenborg__A,59.0,27437019.23224561,21760321.148521833,5968965.148247792,-292267.0645240203,29807
2020-07-03__2H__rosenborg__A,60.0,27637052.065223157,21926571.113862656,6005946.76807719,-295465.816716696,29790
2020-07-11__1H__rosenborg__A,1.0,123117.83171731542,75350.19517699446,48031.60332714328,-263.9667868223137,28823
2020-07-11__1H__rosenborg__A,2.0,460118.44760195765,289225.86242293793,171282.50421749114,-389.9190384714675,28812
2020-07-11__1H__rosenborg__A,3.0,952631.5649420278,615568.4000721473,337484.5718548355,-421.40698495484685,28801
2020-07-11__1H__rosenborg__A,4.0,1548906.7507416648,1026078.2278076112,523245.2892132895,-416.76627923616616,28790
2020-07-11__1H__rosenborg__A,5.0,2210282.592106456,1495691.0548164127,714942.1632572651,-350.62596722191665,28779
2020-07-11__1H__rosenborg__A,6.0,2909168.4548149025,2004249.8059874242,905094.1454263665,-175.49659888719907,28768
2020-07-11__1H__rosenborg__A,7.0,3626395.7976679313,2536351.2601827253,1089947.3597188995,97.1777663071698,28757
2020-07-11__1H__rosenborg__A,8.0,4348264.643532926,3080330.100873974,1267538.9944097053,395.5482492456795,28746
2020-07-11__1H__rosenborg__A,9.0,5064838.28887599,3627488.5567395017,1436688.5573917397,661.1747447476955,28735
2020-07-11__1H__rosenborg__A,10.0,5769060.055018256,4171505.0907410346,1596674.8478889675,880.1163882551191,28724
2020-07-11__1H__rosenborg__A,11.0,6455862.012517791,4707724.248896891,1747069.6191152986,1068.1445056002412,28713
2020-07-11__1H__rosenborg__A,12.0,7121336.360545356,5232624.929193021,1887515.9536093,1195.4777430351824,28702
2020-07-11__1H__rosenborg__A,13.0,7762984.834766189,5743573.557587285,2018094.5543224062,1316.7228564979741,28691
