cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-11__2H__rosenborg__A,42.0,22626215.794138454,17409399.689551037,5256102.943258919,-39286.83867150055,30027
2020-07-11__2H__rosenborg__A,43.0,22881294.646134134,17631080.434272327,5295652.984776462,-45438.77291465126,30011
2020-07-11__2H__rosenborg__A,44.0,23130896.989932887,17848053.240346067,5334533.3724653255,-51689.62287850072,29995
2020-07-11__2H__rosenborg__A,45.0,23375507.538816772,18060360.146348372,5373032.922535825,-57885.53006742642,29979
2020-07-11__2H__rosenborg__A,46.0,23615432.41024845,18268134.443800006,5411358.774445907,-64060.807997457916,29963
2020-07-11__2H__rosenborg__A,47.0,23850723.730275277,18471239.421847217,5449213.278797538,-69728.9703694789,29947
2020-07-11__2H__rosenborg__A,48.0,24080303.788377427,18669301.486437842,5485938.74165032,-74936.43971073555,29931
2020-07-11__2H__rosenborg__A,49.0,24302924.24184681,18861557.136977136,5521119.755089337,-79752.65021966625,29915
2020-07-11__2H__rosenborg__A,50.0,24517859.97052967,19047219.88627057,5554718.2428622395,-84078.1586031458,29899
2020-07-11__2H__rosenborg__A,51.0,24724129.48785556,19225506.091788195,5586664.757315536,-88041.36124817042,29883
2020-07-11__2H__rosenborg__A,52.0,24920191.359813213,19395178.909114983,5616566.195126226,-91553.74442799392,29867
2020-07-11__2H__rosenborg__A,53.0,25104428.85196899,19554808.54536873,5644433.376008371,-94813.0694081109,29851
2020-07-11__2H__rosenborg__A,54.0,25276474.099820297,19703789.858880408,5670670.411178083,-97986.17023819586,29835
2020-07-11__2H__rosenborg__A,55.0,25436686.49249202,19842256.482191727,5695363.26464251,-100933.25434221173,29819
