lag_s,msd_centroid,msd_centroid_ci_low,msd_centroid_ci_high,alpha_local_centroid,msd_player_abs,msd_player_abs_ci_low,msd_player_abs_ci_high,alpha_local_player_abs,msd_player_rel,msd_player_rel_ci_low,msd_player_rel_ci_high,alpha_local_player_rel,fit_window_flag,early_window_flag,n_bootstrap,bootstrap_unit
47.030692663124796,,,,,,,,,204.08407563422827,184.74563314169126,227.90192885953158,0.3871852416307746,False,False,200,match_id+match_phase+team+source_key
48.0,640.7903190604724,600.566316247949,687.5754490546473,0.4881062301405166,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
48.00017295632096,,,,,831.707770142809,800.8713973346969,866.0395493092143,0.46466618645956714,,,,,False,False,200,match_id+match_phase+team+source_key
48.031581378502636,,,,,,,,,205.731670240224,186.20080263692907,229.8456119785482,0.3768666949702606,False,False,200,match_id+match_phase+team+source_key
49.0,647.1666215678284,606.8118345375058,693.8895858450381,0.47219000271493883,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
49.000174141055496,,,,,839.5909922956483,808.3693151707007,873.805094401171,0.45026626644667544,,,,,False,False,200,match_id+match_phase+team+source_key
49.03248418570471,,,,,,,,,207.31618494238916,187.59900013306955,231.70502339351296,0.3672176446400499,False,False,200,match_id+match_phase+team+source_key
50.0,653.2661566358344,612.5633428312249,699.8729152977567,0.456304771867849,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
50.00017532938048,,,,,847.1415902622908,815.9836289184778,881.1687694056538,0.4359137823684307,,,,,False,False,200,match_id+match_phase+team+source_key
50.033401452615266,,,,,,,,,208.84053138483955,188.94413970837846,233.48251152043153,0.35797502357846156,False,False,200,match_id+match_phase+team+source_key
51.0,659.0930864368324,617.822371337457,705.5374219209933,0.44043516516046566,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
51.00017652133947,,,,,854.3657966959803,823.1594495720732,888.2091522353614,0.42152057050469693,,,,,False,False,200,match_id+match_phase+team+source_key
51.03433356028339,,,,,,,,,210.308032849478,190.23766202710175,235.18321202747686,0.34866179068438896,False,False,200,match_id+match_phase+team+source_key
52.0,664.6528730597593,622.8062517510908,710.9036136505603,0.4249382747726145,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
52.00017771697689,,,,,861.2679816975362,829.9858707507,895.769789383692,0.40716148838885147,,,,,False,False,200,match_id+match_phase+team+source_key
52.03528090352041,,,,,,,,,211.7175452027946,191.48084281622445,236.80569573601724,0.33884486605597886,False,False,200,match_id+match_phase+team+source_key
53.0,669.9587763096403,627.4107133905727,716.0004123524018,0.4102089598665941,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
53.00017891633815,,,,,867.8567540542034,836.4906412035045,901.8663597971874,0.39315220130109196,,,,,False,False,200,match_id+match_phase+team+source_key
53.036243891530084,,,,,,,,,213.06870873557665,192.45742827920438,238.35180440822475,0.3284184331268136,False,False,200,match_id+match_phase+team+source_key
54.0,675.02614492012,631.3346978758882,720.8591869753926,0.396463323538228,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
54.00018011946958,,,,,874.1467394306279,842.6740254031354,907.7027585370209,0.3798392062531377,,,,,False,False,200,match_id+match_phase+team+source_key
54.03722294857391,,,,,,,,,214.35962193603413,193.56983651484236,239.8243784083654,0.3177767757682375,False,False,200,match_id+match_phase+team+source_key
55.0,679.8731354560845,635.0664355724574,725.610933569478,0.3837673889499911,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
55.00018132641858,,,,,880.1574306133912,848.5451059876981,914.3975741632731,0.36751515284194625,,,,,False,False,200,match_id+match_phase+team+source_key
55.03821851467367,,,,,,,,,215.5930575771686,194.70468875811378,241.22857896353045,0.3078497746928974,False,False,200,match_id+match_phase+team+source_key
56.0,684.5161062925554,638.6335943291394,730.4879605336778,0.37189757991487227,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
56.00018253723351,,,,,885.9121386916623,854.0973861722456,920.7759829875959,0.35618775061854535,,,,,False,False,200,match_id+match_phase+team+source_key
56.03923104635372,,,,,,,,,216.77445117889275,195.80180234812704,242.57231839012073,0.2990357873748337,False,False,200,match_id+match_phase+team+source_key
57.0,688.9669935931772,642.0564977966086,735.1266285948806,0.36044956317437027,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
57.00018375196383,,,,,891.4297033150019,859.3648132566018,926.8581218044822,0.34551245373259576,,,,,False,False,200,match_id+match_phase+team+source_key
57.040261017425756,,,,,,,,,217.90946351678116,196.86448957344558,243.86370040954696,0.2910800820725683,False,False,200,match_id+match_phase+team+source_key
58.0,693.2317239781119,645.6352254951987,739.5321740897675,0.34919724918609063,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
58.00018497066008,,,,,896.7216155924312,864.368597019929,932.6619519977462,0.3351888349743888,,,,,False,False,200,match_id+match_phase+team+source_key
58.04130891981885,,,,,,,,,219.00127657439114,197.89156813007824,245.1104290211048,0.28339641251449166,False,False,200,match_id+match_phase+team+source_key
59.0,697.3163338080656,649.1975591569573,743.7169524371549,0.33834191388547197,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
59.00018615453998,,,,,901.7965766389198,869.1180601983772,938.2006029479812,0.32523837790651555,,,,,False,False,200,match_id+match_phase+team+source_key
59.04237522562384,,,,,,,,,220.05083385599298,198.88178003773896,246.31699893650375,0.2761851944861746,False,False,200,match_id+match_phase+team+source_key
60.0,701.2312180357061,652.5936574490919,747.6851407391507,0.3279067330649923,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
60.000187342213025,,,,,906.6661665198001,873.6255634670616,943.4874954325883,0.3155861915214473,,,,,False,False,200,match_id+match_phase+team+source_key
60.043460504247925,,,,,,,,,221.06260604441715,199.8243375449924,247.48871014502947,0.2691505708121156,False,False,200,match_id+match_phase+team+source_key
61.0,704.9826966553193,655.8226172440174,751.7553551382946,0.3176377105725976,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
61.00018853373093,,,,,911.336431103081,877.9011470108125,948.5240494714988,0.305887641675298,,,,,False,False,200,match_id+match_phase+team+source_key
61.044565307450426,,,,,,,,,222.0353171719419,200.7180332851075,248.62267549221013,0.2615414171404211,False,False,200,match_id+match_phase+team+source_key
62.0,708.5748556958372,658.8851148374621,756.6257003263293,0.30742700336702455,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
62.000189729146626,,,,,915.8081845656976,881.9456331278717,953.3059471528557,0.29610880120691263,,,,,False,False,200,match_id+match_phase+team+source_key
62.045690208946155,,,,,,,,,222.967775347861,201.5761902099592,249.7179367925779,0.25357622992927986,False,False,200,match_id+match_phase+team+source_key
63.0,712.0112917598767,661.7800595694656,761.3277526826312,0.29721245224607173,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
63.0001909285143,,,,,920.0862105545201,885.7648592513461,957.8323770824236,0.286450281782038,,,,,False,False,200,match_id+match_phase+team+source_key
63.0468358055131,,,,,,,,,223.86034308175286,202.39663196702276,250.7733180931421,0.24566606661875312,False,False,200,match_id+match_phase+team+source_key
64.0,715.2945356377193,664.5017133159587,765.8636695024745,0.2872078157814144,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
64.00019213188939,,,,,924.1771322260847,889.3653399259238,962.1054918665624,0.27697549951537326,,,,,False,False,200,match_id+match_phase+team+source_key
64.04800271816801,,,,,,,,,224.71479291038898,203.18125373815187,251.78630395887996,0.23764679158429658,False,False,200,match_id+match_phase+team+source_key
65.0,718.4327706475599,667.0647121885764,770.2428803383361,0.2776161706590301,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
65.00019333932869,,,,,928.087333506492,892.7537408087646,966.129023865101,0.26794610165492827,,,,,False,False,200,match_id+match_phase+team+source_key
65.04919159341475,,,,,,,,,225.53032837561668,203.9321135675874,252.75614383912765,0.23008772310751624,False,False,200,match_id+match_phase+team+source_key
66.0,721.4328715838936,669.4700989792912,774.4695073712145,0.2685352117811135,,,,,,,,,False,False,200,match_id+match_phase+team+source_key
