length_l,centroid_ccdf,centroid_ci_low,centroid_ci_high,player_ccdf,player_ci_low,player_ci_high,null_ccdf,n_centroid_at_risk,n_player_at_risk,reliable_support_flag,n_bootstrap,bootstrap_unit
0.025790034602917882,0.9934520836801509,0.9917833952229634,0.9947691821465914,0.9898770718098245,0.9872143178722328,0.9917030218593449,0.9960270895012603,17903,306558,True,200,match_id+match_phase+team+source_key
0.027393678872311717,0.9925642306198325,0.990747616846628,0.9942597145956283,0.9887114012909559,0.9857287803540559,0.9908855892122478,0.9957805727520164,17887,306197,True,200,match_id+match_phase+team+source_key
0.029097038980879647,0.9918983408245935,0.9898681447480866,0.9936112519136949,0.9879913333527074,0.984652670177594,0.9902558406257588,0.9955187942221781,17875,305974,True,200,match_id+match_phase+team+source_key
0.030906315336512665,0.9905665612341158,0.9884769951037512,0.9925099498438051,0.9874779216837319,0.98415486924186,0.9898652273550772,0.9952408134709543,17851,305815,True,200,match_id+match_phase+team+source_key
0.032828093893252926,0.9892902724599079,0.9870132753416048,0.9911036988518384,0.986457556354196,0.9827786293509481,0.9889951857042049,0.9949456326724477,17828,305499,True,200,match_id+match_phase+team+source_key
0.03486937012485137,0.9877365296043504,0.9853228438973648,0.9896500864644523,0.9846267109686044,0.9805298234297855,0.9874849868797553,0.9946321931866815,17800,304932,True,200,match_id+match_phase+team+source_key
0.037037574489019356,0.986848676544032,0.9843239550708741,0.9890169945159843,0.9838000858915119,0.9796628487523448,0.986616698078287,0.9942993719351139,17784,304676,True,200,match_id+match_phase+team+source_key
0.03934059947506737,0.9855168969535542,0.9827832004142167,0.9880820644222814,0.9799769449099592,0.9749068789529362,0.9835051765532123,0.9939459775707257,17760,303492,True,200,match_id+match_phase+team+source_key
0.0417868283333866,0.9840741357305366,0.9809505521443747,0.9868093547890102,0.9776520618806366,0.9721914266265351,0.9812127123522353,0.9935707464324269,17734,302772,True,200,match_id+match_phase+team+source_key
0.044385165591352034,0.9817990122634704,0.9783170938189119,0.9845513746416914,0.9761764069578582,0.9704412556407954,0.9801005212045232,0.993172338273209,17693,302315,True,200,match_id+match_phase+team+source_key
0.04714506946672777,0.9794683979801343,0.9760311864556983,0.9824223062431807,0.9737675698191435,0.9676393564235374,0.9779309198365072,0.9927493317511661,17651,301569,True,200,match_id+match_phase+team+source_key
0.05007658629656319,0.9771377836967982,0.973655944606236,0.980230520628713,0.9723597239847204,0.9660943949417712,0.9766943557145361,0.9923002196722325,17609,301133,True,200,match_id+match_phase+team+source_key
0.05319038710690424,0.9747516785971921,0.9707326349822002,0.9783551819681763,0.9708162599735868,0.9642192423394502,0.9753489229777038,0.9918234039732375,17566,300655,True,200,match_id+match_phase+team+source_key
0.056497806456437615,0.9722545918650464,0.9680855546509703,0.9760713471934263,0.9668252107732497,0.9598192498816487,0.971657833561528,0.9913171904336737,17521,299419,True,200,match_id+match_phase+team+source_key
0.06001088369546298,0.9695355418678209,0.9649562599927071,0.9737167132928158,0.9636349546163459,0.9560976197388231,0.9689458500178038,0.990779783104417,17472,298431,True,200,match_id+match_phase+team+source_key
0.06374240679037965,0.9669274735031352,0.9619538640290092,0.9712701000861957,0.9606029196656043,0.9527635083674093,0.966280563589563,0.9902092784415417,17425,297492,True,200,match_id+match_phase+team+source_key
0.06770595887321391,0.9638754786082904,0.9584540385896674,0.9685095776493003,0.9580261743081051,0.9499369058816349,0.9638905976307217,0.9896036591333468,17370,296694,True,200,match_id+match_phase+team+source_key
0.07191596768563167,0.9608789745297154,0.9555731694925282,0.9657653621891189,0.9556625432282938,0.947220918095516,0.961642091517187,0.9889607876087655,17316,295962,True,200,match_id+match_phase+team+source_key
0.07638775809741834,0.9573830531047112,0.9513687517115714,0.9626156366007771,0.9509966321486117,0.9418727203127638,0.9572414569607031,0.988278399215493,17253,294517,True,200,match_id+match_phase+team+source_key
0.08113760789059801,0.9533877143332778,0.9468316482742348,0.9591543336651344,0.9473769184321247,0.9378808598303359,0.9540723454889144,0.9875540950564403,17181,293396,True,200,match_id+match_phase+team+source_key
