track_type,k,tau_s,weighted_msd,n_pairs,n_entities,msd_m2
player_abs,56,56.00018253723351,870740007.404429,982874,483,885.9121386916623
player_abs,57,57.00018375196383,875686163.3247557,982339,483,891.4297033150019
player_abs,58,58.00018497066008,880404869.0751114,981804,483,896.7216155924312
player_abs,59,59.00018615453998,884905926.7584728,981270,483,901.7965766389198
player_abs,60,60.000187342213025,889200149.4879626,980736,483,906.6661665198001
player_abs,61,61.00018853373093,893293792.4401022,980202,483,911.336431103081
player_abs,62,62.000189729146626,897187972.5571078,979668,483,915.8081845656976
player_abs,63,63.0001909285143,900887691.6850895,979134,483,920.0862105545201
player_abs,64,64.00019213188939,904399741.5964465,978600,483,924.1771322260847
player_abs,65,65.00019333932869,907730665.9333606,978066,483,928.087333506492
player_abs,66,66.00019455089028,910894141.1327461,977532,483,931.830509009164
player_abs,67,67.00019576663371,913902766.4629823,976998,483,935.4192807590008
player_abs,68,68.00019698661993,916771333.9605004,976464,483,938.8685440123757
player_abs,69,69.00019821091135,919520716.6954367,975930,483,942.1994576408521
player_abs,70,70.00019943957199,922170560.5464188,975396,483,945.4319687044224
player_abs,71,71.00020067266738,924743146.4939198,974862,483,948.588771019816
player_abs,72,72.00020191026474,927253958.9238638,974328,483,951.6856324809138
player_abs,73,73.00020315243293,929715662.0126573,973794,483,954.7354594633539
player_abs,74,74.00020439924256,932134945.4357672,973260,483,957.7450480198171
player_abs,75,75.00020565076606,934515055.4802859,972726,483,960.7176691897675
player_abs,76,76.00020690707773,936857666.4943527,972192,483,963.6549842977032
player_abs,77,77.00020816825372,939161375.0744629,971658,483,966.5554907945624
player_abs,78,78.00020943437225,941424750.3591518,971124,483,969.4176545519953
player_abs,79,79.00021070551355,943646255.8527443,970590,483,972.2398292304107
player_abs,80,80.00021198175995,945825317.8835154,970056,483,975.0213574097943
player_abs,81,81.00021370565075,947956488.1112871,969522,482,977.7565523126727
player_abs,82,82.00021499503279,950032822.012111,968989,482,980.4371587418545
player_abs,83,83.0002162897916,952050034.9334803,968456,482,983.0596691367292
player_abs,84,84.00021759001895,954008791.8420019,967923,482,985.624674526798
player_abs,85,85.00021889580913,955906509.9220097,967390,482,988.1294099815067
player_abs,86,86.00022020725908,957754108.2408934,966857,482,990.5850691890253
player_abs,87,87.00022152446839,959545767.233307,966324,482,992.985548566844
player_abs,88,88.00022284753949,961282729.143119,965791,482,995.3320430021806
player_abs,89,89.00022417657769,962961910.953558,965258,482,997.621269084077
player_abs,90,90.00022551169134,964582528.4351907,964725,482,999.8523189874738
player_abs,91,91.00022685299184,966143854.3162366,964192,482,1002.0243419528855
player_abs,92,92.0002282005939,967646932.3696221,963659,482,1004.1383231720164
player_abs,93,93.00022955461556,969093974.4552522,963126,482,1006.1964628254789
player_abs,94,94.0002309151783,970485398.1035814,962593,482,1008.1991019086794
player_abs,95,95.0002322824073,971820543.386638,962060,482,1010.1454622233936
player_abs,96,96.00023365643142,973103056.3793685,961527,482,1012.0392421423096
player_abs,97,97.00023503738343,974331644.9742811,960994,482,1013.8790096236617
player_abs,98,98.00023642540019,975508484.3712112,960461,482,1015.6669394917765
player_abs,99,99.0002378206227,976633820.4136119,959928,482,1017.4032015042919
player_abs,100,100.0002392231964,977715788.9011692,959395,482,1019.0961896832579
player_abs,101,101.00024063327125,978762322.1304846,958862,482,1020.7541044806078
player_abs,102,102.00024205100192,979776333.1092712,958329,482,1022.3799270493444
player_abs,103,103.00024347654802,980765417.0485075,957796,482,1023.9815336966404
player_abs,104,104.00024491007429,981732369.133706,957263,482,1025.5618039490778
player_abs,105,105.00024635175082,982668550.3075726,956730,482,1027.1116723710688
player_abs,106,106.00024621922931,983598516.6045593,956197,482,1028.6567690596805
player_abs,107,107.00024609037928,984520922.7226044,955664,482,1030.1956783164421
player_abs,108,108.0002459653659,985435304.2590446,955131,482,1031.7279035640604
player_abs,109,109.00024584436062,986343311.1535739,954598,482,1033.2551620195873
player_abs,110,110.00024623840932,987200755.7213165,954065,481,1034.7311301864302
player_abs,111,111.00024612572658,988032510.60006,953534,481,1036.1796334478477
player_abs,112,112.00024601761525,988829957.1717286,953004,481,1037.592661910893
player_abs,113,113.00024591427463,989585701.3014926,952474,481,1038.963479634607
player_abs,114,114.0002458159116,990301411.8326964,951944,481,1040.2937692056428
player_abs,115,115.0002457227411,990985050.674863,951414,481,1041.5918313950215
player_abs,116,116.00024563498644,991648625.7048061,950885,481,1042.8691436975093
player_abs,117,117.00024555287972,992307618.6466008,950356,481,1044.1430565457586
player_abs,118,118.00024650161694,992974202.3866545,949827,479,1045.4263801583388
player_abs,119,119.0002464312469,993661272.0277144,949300,479,1046.7305088251494
player_abs,120,120.0002463673046,994373376.7536874,948774,479,1048.0613684119583
player_rel,1,1.0005053834765565,1906953.8293136589,1010195,485,1.8877086397315952
player_rel,2,2.0010149958391383,6633735.797528673,1009656,485,6.57029304785855
player_rel,3,3.001524288013105,13103529.479736628,1009117,485,12.985143922594336
player_rel,4,4.002039056598496,20516840.50207845,1008578,485,20.342343876307485
player_rel,5,5.002548725113099,28360999.151033647,1008039,485,28.13482330647291
player_rel,6,6.003063958806032,36322646.35578641,1007500,485,36.052254447430684
player_rel,7,7.003584860531746,44218221.414681055,1006961,485,43.91254618071709
player_rel,8,8.004111535774218,51938430.90600975,1006422,485,51.60701068340095
player_rel,9,9.004644092732393,59418100.19312774,1005883,485,59.070587924368674
player_rel,10,10.005182642409011,66626821.62428801,1005344,485,66.27266052643473
player_rel,11,11.005727298702938,73547885.7251499,1004805,485,73.19617808943019
player_rel,12,12.006278178505193,80179129.90911877,1004266,485,79.83853870301172
player_rel,13,13.00683540179884,86526579.105594,1003727,485,86.20529198237568
player_rel,14,14.007399091762911,92603052.17170872,1003188,485,92.3087718071874
player_rel,15,15.007969374880576,98422269.29351737,1002649,485,98.16223752631016
player_rel,16,16.008546381051737,103994956.29556322,1002110,485,103.77598895886003
player_rel,17,17.00912910519252,109335062.33633368,1001571,485,109.16356637356081
player_rel,18,18.00971881787024,114456591.11961621,1001032,485,114.33859369092717
player_rel,19,19.010315659924725,119368155.9258648,1000493,485,119.30933642300826
player_rel,20,20.010919776111514,124083969.58980998,999954,485,124.08967771498487
player_rel,21,21.01153016657397,128616980.88091193,999415,485,128.69226585643796
player_rel,22,22.012148127854946,132974997.53890766,998876,485,133.12462962260346
player_rel,23,23.01277381727607,137166761.0205108,998337,485,137.39524932013018
player_rel,24,24.013407396664043,141204202.23321715,997798,485,141.5158200690091
player_rel,25,25.014049032514468,145091836.57746848,997259,485,145.4906263843881
player_rel,26,26.01469889616277,148833228.35228428,996720,485,149.32300781792708
player_rel,27,27.015357163962843,152435450.25620016,996181,485,153.01983299842112
player_rel,28,28.016024017473573,155899004.5947999,995642,485,156.58138627619155
player_rel,29,29.01669964365385,159226547.68886694,995103,485,160.01011723295673
player_rel,30,30.0173771980163,162424001.04104388,994564,485,163.31176378900088
player_rel,31,31.01810114120208,165499751.8428555,994025,484,166.49455681985415
player_rel,32,32.01879846953174,168456390.00400242,993487,484,169.56073909774605
player_rel,33,33.019505270333255,171299336.10229328,992950,484,172.51557087697597
player_rel,34,34.02022903350058,174038466.81356832,992414,484,175.36881464143826
player_rel,35,35.02096283423002,176672409.85738134,991878,484,178.1190931317978
player_rel,36,36.02170690396142,179206179.23747033,991342,484,180.7712971280046
player_rel,37,37.02246148147022,181643281.22898763,990806,484,183.3288062738696
player_rel,38,38.02322540476723,183983207.1898845,990270,484,185.7909531641719
player_rel,39,39.02400033082136,186230078.2023214,989734,484,188.1617466938808
player_rel,40,40.02478652220738,188386148.1638128,989198,484,190.44331687267137
player_rel,41,41.02563721956675,190454769.05080953,988662,483,192.63890900106358
player_rel,42,42.026448440193285,192436606.4579116,988127,483,194.7488596687588
player_rel,43,43.02727179201776,194331891.23648345,987592,483,196.7734562820309
player_rel,44,44.02810757487265,196143764.64181352,987057,483,198.71574249695155
player_rel,45,45.02895609875929,197875815.27198598,986522,483,200.57922202645858
player_rel,46,46.02981768428532,199531779.04566205,985987,483,202.3675556023173
player_rel,47,47.030692663124796,201115060.5019015,985452,483,204.08407563422827
player_rel,48,48.031581378502636,202628619.4579907,984917,483,205.731670240224
player_rel,49,49.03248418570471,204078320.76595894,984382,483,207.31618494238916
player_rel,50,50.033401452615266,205467130.28138024,983847,483,208.84053138483955
player_rel,51,51.03433356028339,206798412.3972859,983312,483,210.308032849478
player_rel,52,52.03528090352041,208071133.92176688,982777,483,211.7175452027946
player_rel,53,53.036243891530084,209285034.60585028,982242,483,213.06870873557665
player_rel,54,54.03722294857391,210438341.37195826,981707,483,214.35962193603413
player_rel,55,55.03821851467367,211533871.48910567,981172,483,215.5930575771686
player_rel,56,56.03923104635372,212577047.48071584,980637,483,216.77445117889275
player_rel,57,57.040261017425756,213573501.01172423,980102,483,217.90946351678116
player_rel,58,58.04130891981885,214526423.4901466,979567,483,219.00127657439114
player_rel,59,59.04237522562384,215437028.02253437,979033,483,220.05083385599298
player_rel,60,60.043460504247925,216309538.95185614,978499,483,221.06260604441715
player_rel,61,61.044565307450426,217142768.95805815,977965,483,222.0353171719419
player_rel,62,62.045690208946155,217935615.62603512,977431,483,222.967775347861
player_rel,63,63.0468358055131,218688497.57553512,976897,483,223.86034308175286
player_rel,64,64.04800271816801,219403209.35036612,976363,483,224.71479291038898
player_rel,65,65.04919159341475,220079034.80844966,975829,483,225.53032837561668
player_rel,66,66.05007620035346,220721242.8711976,975295,483,226.31228794487578
player_rel,67,67.05097718933315,221332399.59256405,974761,483,227.06324893236808
player_rel,68,68.05156816303324,221918910.50932515,974227,483,227.78973535872558
player_rel,69,69.052169598724,222486187.7421767,973693,483,228.49726530043526
player_rel,70,70.05278182323026,223038923.726118,973159,483,229.1906294101149
player_rel,71,71.0534051775942,223581118.6913256,972625,483,229.87391717396284
player_rel,72,72.05404001786337,224113454.07875082,972091,483,230.54781299153146
player_rel,73,73.05468671593198,224639711.08577713,971557,483,231.21619327098372
player_rel,74,74.05530659641343,225159677.50144896,971023,483,231.87883036905302
player_rel,75,75.0559389326345,225673206.25737873,970489,483,232.53556326488885
player_rel,76,76.05658414817896,226180957.9110454,969955,483,233.18706322566038
