track_type,k,tau_s,msd_m2,ci_low,ci_high,n_bootstrap,bootstrap_unit
player_abs,48,48.00017295632096,831.707770142809,800.8713973346969,866.0395493092143,200,match_id+match_phase+team+source_key
player_abs,49,49.000174141055496,839.5909922956483,808.3693151707007,873.805094401171,200,match_id+match_phase+team+source_key
player_abs,50,50.00017532938048,847.1415902622908,815.9836289184778,881.1687694056538,200,match_id+match_phase+team+source_key
player_abs,51,51.00017652133947,854.3657966959803,823.1594495720732,888.2091522353614,200,match_id+match_phase+team+source_key
player_abs,52,52.00017771697689,861.2679816975362,829.9858707507,895.769789383692,200,match_id+match_phase+team+source_key
player_abs,53,53.00017891633815,867.8567540542034,836.4906412035045,901.8663597971874,200,match_id+match_phase+team+source_key
player_abs,54,54.00018011946958,874.1467394306279,842.6740254031354,907.7027585370209,200,match_id+match_phase+team+source_key
player_abs,55,55.00018132641858,880.1574306133912,848.5451059876981,914.3975741632731,200,match_id+match_phase+team+source_key
player_abs,56,56.00018253723351,885.9121386916623,854.0973861722456,920.7759829875959,200,match_id+match_phase+team+source_key
player_abs,57,57.00018375196383,891.4297033150019,859.3648132566018,926.8581218044822,200,match_id+match_phase+team+source_key
player_abs,58,58.00018497066008,896.7216155924312,864.368597019929,932.6619519977462,200,match_id+match_phase+team+source_key
player_abs,59,59.00018615453998,901.7965766389198,869.1180601983772,938.2006029479812,200,match_id+match_phase+team+source_key
player_abs,60,60.000187342213025,906.6661665198001,873.6255634670616,943.4874954325883,200,match_id+match_phase+team+source_key
player_abs,61,61.00018853373093,911.336431103081,877.9011470108125,948.5240494714988,200,match_id+match_phase+team+source_key
player_abs,62,62.000189729146626,915.8081845656976,881.9456331278717,953.3059471528557,200,match_id+match_phase+team+source_key
player_abs,63,63.0001909285143,920.0862105545201,885.7648592513461,957.8323770824236,200,match_id+match_phase+team+source_key
player_abs,64,64.00019213188939,924.1771322260847,889.3653399259238,962.1054918665624,200,match_id+match_phase+team+source_key
player_abs,65,65.00019333932869,928.087333506492,892.7537408087646,966.129023865101,200,match_id+match_phase+team+source_key
player_abs,66,66.00019455089028,931.830509009164,895.7693126664002,969.9121495285912,200,match_id+match_phase+team+source_key
player_abs,67,67.00019576663371,935.4192807590008,898.237299795122,974.5584906059917,200,match_id+match_phase+team+source_key
player_abs,68,68.00019698661993,938.8685440123757,901.1342024378416,979.205161170195,200,match_id+match_phase+team+source_key
player_abs,69,69.00019821091135,942.1994576408521,904.4135245448106,983.7075155707905,200,match_id+match_phase+team+source_key
player_abs,70,70.00019943957199,945.4319687044224,906.9387050716558,988.0894180166414,200,match_id+match_phase+team+source_key
player_abs,71,71.00020067266738,948.588771019816,909.3603110629798,992.362740729608,200,match_id+match_phase+team+source_key
player_abs,72,72.00020191026474,951.6856324809138,911.7193256493113,996.1083331365077,200,match_id+match_phase+team+source_key
player_abs,73,73.00020315243293,954.7354594633539,914.0211832344007,998.829073952504,200,match_id+match_phase+team+source_key
player_abs,74,74.00020439924256,957.7450480198171,917.1624467943434,1001.599122940944,200,match_id+match_phase+team+source_key
player_abs,75,75.00020565076606,960.7176691897675,920.6629870202079,1005.4867719530855,200,match_id+match_phase+team+source_key
player_abs,76,76.00020690707773,963.6549842977032,923.5912228925923,1009.3414384209385,200,match_id+match_phase+team+source_key
