duration_s,empirical_ccdf,model,model_source_name,model_label,plot_label,model_ccdf,n_parameters,n,param_p,param_mean_duration_on_support,param_mu,param_sigma,param_shape,param_scale,param_alpha,param_tc,param_beta,support,sample_size,pooled_or_heldout_status,uncertainty_definition,contrast_direction
6,0.287369025405483,interval_lognormal,lognormal,interval log-normal,log-normal,0.2398873700907785,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
7,0.2486436055691115,interval_lognormal,lognormal,interval log-normal,log-normal,0.2045025349087501,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
8,0.2166786278168508,interval_lognormal,lognormal,interval log-normal,log-normal,0.1771375310541146,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
9,0.1882158748385244,interval_lognormal,lognormal,interval log-normal,log-normal,0.15539329944945,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
10,0.1646189177551313,interval_lognormal,lognormal,interval log-normal,log-normal,0.1377401039940394,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
11,0.1434476819290943,interval_lognormal,lognormal,interval log-normal,log-normal,0.123155273483287,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
12,0.1255777235538969,interval_lognormal,lognormal,interval log-normal,log-normal,0.1109288166983695,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
13,0.1099899526338452,interval_lognormal,lognormal,interval log-normal,log-normal,0.1005523524820069,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
14,0.0964116549447394,interval_lognormal,lognormal,interval log-normal,log-normal,0.091652347938531,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
15,0.0852734318932108,interval_lognormal,lognormal,interval log-normal,log-normal,0.0839482768098597,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
16,0.0752978326395866,interval_lognormal,lognormal,interval log-normal,log-normal,0.0772254586830141,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
17,0.0668149849289507,interval_lognormal,lognormal,interval log-normal,log-normal,0.0713168916369581,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
18,0.0592651069326826,interval_lognormal,lognormal,interval log-normal,log-normal,0.0660907816365134,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
19,0.0530357399167503,interval_lognormal,lognormal,interval log-normal,log-normal,0.061441786518901,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
20,0.0475240419118702,interval_lognormal,lognormal,interval log-normal,log-normal,0.0572847443117209,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
21,0.0420554040476532,interval_lognormal,lognormal,interval log-normal,log-normal,0.0535501007145877,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
22,0.0375197358978039,interval_lognormal,lognormal,interval log-normal,log-normal,0.050180522128189,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
23,0.0334146691545859,interval_lognormal,lognormal,interval log-normal,log-normal,0.0471283507797815,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
24,0.0296110233960097,interval_lognormal,lognormal,interval log-normal,log-normal,0.0443536677045992,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
25,0.0263815128462753,interval_lognormal,lognormal,interval log-normal,log-normal,0.0418228009541607,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
26,0.0233816563800775,interval_lognormal,lognormal,interval log-normal,log-normal,0.0395071642800657,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
27,0.0205971006171953,interval_lognormal,lognormal,interval log-normal,log-normal,0.0373823441213098,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
28,0.0176403042916606,interval_lognormal,lognormal,interval log-normal,log-normal,0.0354273752525399,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
29,0.0154298837376202,interval_lognormal,lognormal,interval log-normal,log-normal,0.0336241612620343,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
30,0.0135352375484426,interval_lognormal,lognormal,interval log-normal,log-normal,0.0319570072765897,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
31,0.0115831778383809,interval_lognormal,lognormal,interval log-normal,log-normal,0.0304122404538431,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
32,0.0100043060140663,interval_lognormal,lognormal,interval log-normal,log-normal,0.0289778996684878,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
33,0.0086407348930673,interval_lognormal,lognormal,interval log-normal,log-normal,0.0276434801700078,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
34,0.0074637577149418,interval_lognormal,lognormal,interval log-normal,log-normal,0.0263997222277148,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
35,0.0064159609588057,interval_lognormal,lognormal,interval log-normal,log-normal,0.025238435211486,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
36,0.005468637864217,interval_lognormal,lognormal,interval log-normal,log-normal,0.0241523504002463,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
37,0.004794028993828,interval_lognormal,lognormal,interval log-normal,log-normal,0.0231349972191088,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
38,0.004105066743218,interval_lognormal,lognormal,interval log-normal,log-normal,0.0221805986910956,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
39,0.0034591646332711,interval_lognormal,lognormal,interval log-normal,log-normal,0.0212839827311333,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
40,0.0028706760442084,interval_lognormal,lognormal,interval log-normal,log-normal,0.0204405065675661,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
41,0.0025261949189034,interval_lognormal,lognormal,interval log-normal,log-normal,0.0196459920934814,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
42,0.0022104205540404,interval_lognormal,lognormal,interval log-normal,log-normal,0.0188966703592143,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
43,0.0019233529496196,interval_lognormal,lognormal,interval log-normal,log-normal,0.0181891337429522,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
44,0.0016649921056408,interval_lognormal,lognormal,interval log-normal,log-normal,0.017520294596902,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
45,0.0012918042198937,interval_lognormal,lognormal,interval log-normal,log-normal,0.0168873493760964,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
46,0.0010765035165781,interval_lognormal,lognormal,interval log-normal,log-normal,0.0162877474264095,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
47,0.0008181426725993,interval_lognormal,lognormal,interval log-normal,log-normal,0.0157191637460703,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
48,0.0007176690110521,interval_lognormal,lognormal,interval log-normal,log-normal,0.0151794751473747,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
49,0.0006171953495048,interval_lognormal,lognormal,interval log-normal,log-normal,0.0146667393374543,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
50,0.0005454284483995,interval_lognormal,lognormal,interval log-normal,log-normal,0.0141791765128356,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
51,0.0004736615472943,interval_lognormal,lognormal,interval log-normal,log-normal,0.0137151531252421,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
52,0.0004162480264102,interval_lognormal,lognormal,interval log-normal,log-normal,0.0132731675281305,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
53,0.0003157743648629,interval_lognormal,lognormal,interval log-normal,log-normal,0.0128518372568021,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
54,0.0002583608439787,interval_lognormal,lognormal,interval log-normal,log-normal,0.0124498877311543,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
55,0.0001722405626525,interval_lognormal,lognormal,interval log-normal,log-normal,0.0120661422005257,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
56,0.0001578871824314,interval_lognormal,lognormal,interval log-normal,log-normal,0.0116995127756495,2,69670,,,0.1640213681743866,1.6060435019380483,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
