age_start_s,age_mid_s,n_at_risk,n_terminated,termination_probability,n_clusters,ci_low,ci_high,variant,quantity,duration_s,ccdf
,,,,,,,,primary_recomputed,ccdf,71.0,0.0
,,,,,,,,primary_recomputed,ccdf,72.0,0.0
,,,,,,,,primary_recomputed,ccdf,73.0,0.0
,,,,,,,,primary_recomputed,ccdf,74.0,0.0
,,,,,,,,primary_recomputed,ccdf,75.0,0.0
,,,,,,,,primary_recomputed,ccdf,76.0,0.0
,,,,,,,,primary_recomputed,ccdf,77.0,0.0
,,,,,,,,primary_recomputed,ccdf,78.0,0.0
,,,,,,,,primary_recomputed,ccdf,79.0,0.0
,,,,,,,,primary_recomputed,ccdf,80.0,0.0
,,,,,,,,low_speed_guard_0p25,ccdf,1.0,1.0
,,,,,,,,low_speed_guard_0p25,ccdf,2.0,0.6322124489710029
,,,,,,,,low_speed_guard_0p25,ccdf,3.0,0.5505870965026725
,,,,,,,,low_speed_guard_0p25,ccdf,4.0,0.4831025630234418
,,,,,,,,low_speed_guard_0p25,ccdf,5.0,0.429485291023105
,,,,,,,,low_speed_guard_0p25,ccdf,6.0,0.3819283700180969
,,,,,,,,low_speed_guard_0p25,ccdf,7.0,0.3410210007996296
,,,,,,,,low_speed_guard_0p25,ccdf,8.0,0.3046799377130592
,,,,,,,,low_speed_guard_0p25,ccdf,9.0,0.272358065737974
,,,,,,,,low_speed_guard_0p25,ccdf,10.0,0.2447708429779891
,,,,,,,,low_speed_guard_0p25,ccdf,11.0,0.2201506670594672
,,,,,,,,low_speed_guard_0p25,ccdf,12.0,0.1988342241488153
,,,,,,,,low_speed_guard_0p25,ccdf,13.0,0.1805269138504271
,,,,,,,,low_speed_guard_0p25,ccdf,14.0,0.1631875762804595
,,,,,,,,low_speed_guard_0p25,ccdf,15.0,0.1487100711249526
,,,,,,,,low_speed_guard_0p25,ccdf,16.0,0.1350742813854635
,,,,,,,,low_speed_guard_0p25,ccdf,17.0,0.1240478094356298
,,,,,,,,low_speed_guard_0p25,ccdf,18.0,0.1140313959850174
,,,,,,,,low_speed_guard_0p25,ccdf,19.0,0.1046041833256176
,,,,,,,,low_speed_guard_0p25,ccdf,20.0,0.0971339590084592
,,,,,,,,low_speed_guard_0p25,ccdf,21.0,0.0898741635453053
