duration,empirical_survival,age_only_survival,age_order_survival,age_order_boundary_reference_survival,hard_late_survival,smooth_late_survival
56.0,0.0001575886077762,0.0018742428726504883,0.0008567561612958501,0.0006989264716553644,0.00028687928688452734,0.00021714008236357776
57.0,0.0001575886077762,0.00172624148254506,0.0007658357561748736,0.0006200004986524278,0.00024709681855858456,0.00018377439419540347
58.0,0.0001289361336351,0.0015902120785850668,0.0006798311303073237,0.0005458393098339374,0.00021135966901598323,0.00015443357583485914
59.0,0.0001146098965645,0.001465155449960957,0.0006071950478612087,0.0004862889135715487,0.00018190257695278918,0.0001305545625900242
60.0,0.0001002836594939,0.0013501592418093263,0.0005400298034324018,0.00042882690456322965,0.00015588987807416894,0.00010988615817615089
61.0,7.163118535285522e-05,0.0012443900007006264,0.00048076143455338775,0.0003751038015836679,0.0001337270823677809,9.256790168520798e-05
62.0,7.163118535285522e-05,0.001147085997831812,0.00042723733452930494,0.0003283997340710953,0.00011451134137220562,7.783141354196226e-05
63.0,4.297871121171313e-05,0.0010575507476788286,0.00037973139651538835,0.0002889836169086965,9.807207623968226e-05,6.544422402538756e-05
64.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
65.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
66.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
67.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
68.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
69.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
70.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
71.0,0.0,0.0009751471493723205,0.00033603581886576674,0.00025001948982479187,8.362651404035213e-05,5.478327419392381e-05
