heldout_physical_match_id,state_definition,hazard_model,log_likelihood_train,n_fit_intervals,n_fit_deaths,optimizer_success,optimizer_message,mu,a0,phi_low,phi_mid,phi_high,q,tc,tau_q
2020__2020-08-22,S0_raw,age_only,-163393.30433242282,347398,68205,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3308484479399714,2.543485793193255,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-22,S0_raw,age_order,-161638.82806710215,347398,68205,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9137845212519908,4.7649577531120855,1.3066691501440435,1.0,0.6702156105119441,0.0,25.0,5.0
2020__2020-08-22,S0_raw,full,-161165.92409362007,347398,68205,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9137845212519908,4.7649577531120855,1.3066691501440435,1.0,0.6702156105119441,0.1036158183435202,20.0,4.999999999999999
2020__2020-08-26,S0_raw,age_only,-163501.48256520304,347410,68277,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3320010725264202,2.544583291132047,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-26,S0_raw,age_order,-161734.188665083,347410,68277,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.915386077388274,4.771794555601845,1.3092355418926584,1.0,0.6704745844504052,0.0,25.0,5.0
2020__2020-08-26,S0_raw,full,-161263.4196763511,347410,68277,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.915386077388274,4.771794555601845,1.3092355418926584,1.0,0.6704745844504052,0.1035701400668888,20.0,4.999999999999999
2020__2020-08-30,S0_raw,age_only,-161105.86127991046,342118,67281,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3370794023330923,2.5609983364350213,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-30,S0_raw,age_order,-159387.06937912645,342118,67281,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9199567544508105,4.779760099665532,1.3054158747161706,1.0,0.6715731724479503,0.0,25.0,5.0
2020__2020-08-30,S0_raw,full,-158924.41734975373,342118,67281,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9199567544508105,4.779760099665532,1.3054158747161706,1.0,0.6715731724479503,0.1037577382168349,20.0,4.999999999999999
2020__2020-09-05,S0_raw,age_only,-163380.2992984238,347431,68199,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3293622329767207,2.538477883348873,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-09-05,S0_raw,age_order,-161608.74798147747,347431,68199,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.914022177137507,4.769608236713186,1.3090060449976697,1.0,0.6691578695384305,0.0,25.0,5.0
2020__2020-09-05,S0_raw,full,-161130.76079624778,347431,68199,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.914022177137507,4.769608236713186,1.3090060449976697,1.0,0.6691578695384305,0.104226540184122,20.0,4.999999999999999
2020__2020-09-12,S0_raw,age_only,-163512.3080378853,347406,68273,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3341649696640951,2.5529265360430795,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-09-12,S0_raw,age_order,-161759.5238285301,347406,68273,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9193531683029408,4.7783838159719165,1.3055280738800843,1.0,0.6701588223162646,0.0,25.0,5.0
2020__2020-09-12,S0_raw,full,-161291.72691664496,347406,68273,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9193531683029408,4.7783838159719165,1.3055280738800843,1.0,0.6701588223162646,0.1033634740008452,20.0,4.999999999999999
2020__2020-09-26,S0_raw,age_only,-163533.87256773267,347420,68279,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3351182552185077,2.556367161919135,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-09-26,S0_raw,age_order,-161782.2827094016,347420,68279,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9170178358487588,4.776218785280399,1.30700107211026,1.0,0.6716450162896908,0.0,25.0,5.0
2020__2020-09-26,S0_raw,full,-161320.58156489584,347420,68279,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9170178358487588,4.776218785280399,1.30700107211026,1.0,0.6716450162896908,0.1024832709021498,20.0,4.999999999999999
2020__2020-09-27,S0_raw,age_only,-163440.2863140496,347417,68243,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3313840003901471,2.5435231479497737,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-09-27,S0_raw,age_order,-161673.35091218533,347417,68243,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9169413863166465,4.769644943234668,1.306589539388451,1.0,0.6687376330179093,0.0,25.0,5.0
2020__2020-09-27,S0_raw,full,-161200.51915848395,347417,68243,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9169413863166465,4.769644943234668,1.306589539388451,1.0,0.6687376330179093,0.1036737467755213,20.0,4.999999999999999
2020__2020-10-04,S0_raw,age_only,-163435.1996618483,347446,68211,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3323591628694698,2.5489487841735348,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-10-04,S0_raw,age_order,-161670.64232652297,347446,68211,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9201325897580788,4.784624462817769,1.3062216635654502,1.0,0.6686178610323134,0.0,25.0,5.0
2020__2020-10-04,S0_raw,full,-161191.1900235751,347446,68211,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9201325897580788,4.784624462817769,1.3062216635654502,1.0,0.6686178610323134,0.1046158448114725,20.0,4.999999999999999
2020__2020-10-18,S0_raw,age_only,-160917.88847079576,342027,67176,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.333683191268551,2.552758473439894,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-10-18,S0_raw,age_order,-159183.657518684,342027,67176,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9215777155343927,4.778500152716014,1.3034021343797446,1.0,0.66781064105493,0.0,25.0,5.0
2020__2020-10-18,S0_raw,full,-158728.59329815267,342027,67176,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.9215777155343927,4.778500152716014,1.3034021343797446,1.0,0.66781064105493,0.1023457304601061,20.0,4.999999999999999
2020__2020-11-01,S0_raw,age_only,-161170.1097966466,342085,67358,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3344496324181805,2.547556297069192,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-11-01,S0_raw,age_order,-159455.61961950522,342085,67358,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9125658878900416,4.750844789626351,1.3067416426325813,1.0,0.6732069461111662,0.0,25.0,5.0
2020__2020-11-01,S0_raw,full,-158987.3065198981,342085,67358,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9125658878900416,4.750844789626351,1.3067416426325813,1.0,0.6732069461111662,0.1044236431712814,20.0,4.999999999999999
2020__2020-11-07,S0_raw,age_only,-160868.37946507416,342060,67121,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3353049885218935,2.5610082327284744,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-11-07,S0_raw,age_order,-159145.23170264228,342060,67121,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.922267608251466,4.780477426154526,1.301129024429254,1.0,0.6680724750809962,0.0,25.0,5.0
2020__2020-11-07,S0_raw,full,-158674.0592638173,342060,67121,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; late residual fitted on training-only age+order base,1.922267608251466,4.780477426154526,1.301129024429254,1.0,0.6680724750809962,0.1041419037616027,20.0,4.999999999999999
2020__2020-12-06,S0_raw,age_only,-160906.97016222152,342036,67143,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3370705502516376,2.566834499806704,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-12-06,S0_raw,age_order,-159179.2056899875,342036,67143,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9248641739339905,4.798899885387998,1.3038303963264015,1.0,0.6689014192517053,0.0,25.0,5.0
