threshold_s,estimate,ci_low,ci_high,model_name,quantity,pooled_or_crossfitted,fold_aggregation_rule,bootstrap_unit,n_bootstrap_replicates,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_estimate
1.0,0.0974403731726813,0.0973421658815935,0.0975445788463611,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.0974403731726813
2.0,0.1484496881296805,0.1483509703371738,0.1485575440228698,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.1484496881296805
3.0,0.19879577642959,0.1986944684802694,0.1989076988478832,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.19879577642959
4.0,0.2435873791514563,0.243488477129246,0.2436994252855633,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.2435873791514563
5.0,0.2818673817627469,0.2817677857239025,0.281982188716667,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.2818673817627469
6.0,0.3140749253271986,0.3139667272459208,0.3141928500190394,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3140749253271986
7.0,0.3347393896005478,0.3346363710897159,0.3348534235806824,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3347393896005478
8.0,0.3488695940402019,0.3487702564909485,0.3489735586051152,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3488695940402019
9.0,0.3590045935912141,0.3589088536391924,0.3591007452011514,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3590045935912141
10.0,0.3665519361855674,0.3664572889134071,0.3666482348065156,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3665519361855674
11.0,0.372347270415805,0.3722539585216058,0.3724437117627066,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.372347270415805
12.0,0.3745832907586043,0.3744992957885423,0.3746715440057385,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3745832907586043
13.0,0.3747621304945843,0.3746890971715934,0.3748358835417623,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3747621304945843
14.0,0.3737423907915028,0.3736798924519934,0.3738046699001248,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3737423907915028
15.0,0.372036024457762,0.3719836282237797,0.3720860707404914,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.372036024457762
16.0,0.3699569487276191,0.369910458022274,0.3700051540524964,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3699569487276191
17.0,0.3677005748863494,0.3676554759752758,0.3677490678269651,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3677005748863494
18.0,0.3653889335216684,0.3653429550095265,0.3654406374577751,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3653889335216684
19.0,0.3630975356602748,0.3630484161377211,0.3631552327837993,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3630975356602748
20.0,0.3608719655237101,0.3608129307427469,0.360939422425213,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3608719655237101
21.0,0.3587384176110733,0.3586702502929576,0.3588133666587364,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3587384176110733
22.0,0.3556808988563858,0.3556026600933866,0.3557601648002088,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3556808988563858
23.0,0.3520603657900437,0.3519726139233416,0.3521449143744917,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3520603657900437
24.0,0.3481320256524242,0.34803394318317,0.3482255937206712,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3481320256524242
25.0,0.344071382862066,0.343965288138251,0.3441756053506826,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.344071382862066
26.0,0.3399963385985847,0.3398806859244863,0.3401140325887631,transitions only,high_order_exposure,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,mean prior High-order exposure among runs surviving to threshold,leave_one_physical_fixture_out,0.3399963385985847
